channel,category,n_patients,mean_pct_sat,max_pct_sat,patients_with_sat,flag
POSIZIONE,UNKNOWN,2,100.0,100.0,2,⚠️
SAO2,OXYGEN,85,99.9987,100.0,85,⚠️
SPO2,OXYGEN,3,99.9987,99.9998,3,⚠️
HR,UNKNOWN,88,99.9985,100.0,88,⚠️
CANNULA,FLOW,1,99.998,99.998,1,⚠️
FLOW,FLOW,2,99.9951,99.9969,2,⚠️
CHIN1,UNKNOWN,3,99.9899,100.0,3,⚠️
CHIN2,UNKNOWN,3,99.9899,100.0,3,⚠️
HEART RATE VARIA,UNKNOWN,1,99.9041,99.9041,1,⚠️
F4A1,UNKNOWN,3,99.712,100.0,3,⚠️
F3A2,UNKNOWN,3,99.7048,100.0,3,⚠️
C4A1,UNKNOWN,3,99.697,100.0,3,⚠️
C3A2,UNKNOWN,3,99.6903,100.0,3,⚠️
O1A2,UNKNOWN,3,99.6455,100.0,3,⚠️
O2A1,UNKNOWN,3,99.631,100.0,3,⚠️
PLETH,OXYGEN,85,91.1247,99.8308,78,⚠️
FLATTENING,UNKNOWN,1,87.7751,87.7751,1,⚠️
CANULA,UNKNOWN,1,86.2456,86.2456,1,⚠️
POSITION,OTHER,12,82.5226,100.0,10,⚠️
FLUSSO-0,UNKNOWN,1,69.9072,69.9072,1,⚠️
FLUSSO-1,UNKNOWN,1,69.9072,69.9072,1,⚠️
LOC,UNKNOWN,4,50.0034,100.0,3,⚠️
ROC,UNKNOWN,4,50.0005,100.0,3,⚠️
EOG-R,UNKNOWN,2,49.304,98.6065,2,⚠️
EOG-L,UNKNOWN,2,49.1604,98.3208,1,⚠️
FLUSSO,FLOW,4,43.6605,91.8027,3,⚠️
ECG,ECG,5,39.9209,100.0,2,⚠️
STAT,UNKNOWN,74,39.6361,100.0,74,⚠️
ADDOME,ABDOMEN,22,26.3,70.6527,21,⚠️
EKG,ECG,4,25.0907,99.9696,3,⚠️
ADDDOME,ABDOMEN,6,22.5706,52.0582,4,⚠️
TORACE,THORAX,32,19.9904,58.8136,30,⚠️
ABDO,ABDOMEN,1,15.533,15.533,1,⚠️
OX STATUS,OXYGEN,8,14.9386,35.2822,8,⚠️
TIB DX,UNKNOWN,6,4.1333,10.2573,6,⚠️
TIB SX,UNKNOWN,5,3.183,6.3433,4,⚠️
MILO,UNKNOWN,2,2.1394,4.2787,1,⚠️
DX1,UNKNOWN,1,1.5947,1.5947,1,⚠️
SX1,UNKNOWN,1,1.4737,1.4737,1,⚠️
SX2,UNKNOWN,1,1.4269,1.4269,1,⚠️
DX2,UNKNOWN,1,1.3044,1.3044,1,⚠️
ECG2,UNKNOWN,2,1.28,2.5158,2,⚠️
TORACICO,THORAX,1,0.8936,0.8936,1,
ABDOMEN,ABDOMEN,1,0.2491,0.2491,1,
THORAX,THORAX,1,0.2332,0.2332,1,
A1,UNKNOWN,2,0.1296,0.2591,1,
ECG1-ECG2,ECG,96,0.0995,2.5017,78,
SX1-SX2,OTHER,89,0.0446,1.5828,40,
EMG2,UNKNOWN,2,0.0346,0.0691,1,
DELTOIDE,UNKNOWN,1,0.0311,0.0311,1,
ROC-LOC,EOG,96,0.0301,1.7792,52,
TIB SIN,UNKNOWN,1,0.0183,0.0183,1,
EOG DX,UNKNOWN,1,0.0153,0.0153,1,
EMG1-EMG2,EMG,96,0.0136,0.586,30,
T4-T6,EEG,45,0.0118,0.4342,13,
F8-T4,EEG,68,0.009,0.4335,21,
P4-O2,EEG,99,0.0084,0.3422,30,
C4-A1,EEG,99,0.0059,0.3611,34,
DX1-DX2,OTHER,89,0.0059,0.1674,41,
C4-P4,EEG,99,0.0039,0.1867,23,
P4,UNKNOWN,2,0.0037,0.0074,1,
ECG1,UNKNOWN,2,0.0028,0.0056,1,
C3-P3,EEG,70,0.0028,0.0842,20,
F3-C3,EEG,70,0.0026,0.0891,16,
EMG1,UNKNOWN,2,0.0026,0.0052,1,
P3-O1,EEG,70,0.0022,0.0453,16,
T3-T5,EEG,45,0.0017,0.0405,7,
F7-T3,EEG,68,0.0015,0.044,15,
FP1-F3,EEG,69,0.0014,0.0394,15,
FP2-F4,EEG,96,0.0013,0.0362,26,
EOG SIN,UNKNOWN,1,0.0013,0.0013,1,
T6,UNKNOWN,2,0.0012,0.0023,1,
F4-C4,EEG,99,0.0009,0.0417,17,
LOC-ROC,UNKNOWN,3,0.0005,0.0014,1,
O2,UNKNOWN,2,0.0004,0.0007,1,
T5,UNKNOWN,2,0.0001,0.0002,1,
T4,UNKNOWN,3,0.0001,0.0002,1,
P3,UNKNOWN,2,0.0001,0.0003,1,
T3,UNKNOWN,2,0.0001,0.0002,1,
FP1,UNKNOWN,2,0.0001,0.0003,1,
F8,UNKNOWN,2,0.0001,0.0003,1,
FP2,UNKNOWN,2,0.0001,0.0003,1,
O1,UNKNOWN,2,0.0001,0.0003,1,
C4,UNKNOWN,2,0.0001,0.0003,1,
C3,UNKNOWN,2,0.0001,0.0003,1,
F3,UNKNOWN,2,0.0001,0.0003,1,
F7,UNKNOWN,2,0.0001,0.0003,1,
CHIN-1,UNKNOWN,1,0.0,0.0,0,
CHIN-0,UNKNOWN,1,0.0,0.0,0,
A2,UNKNOWN,2,0.0,0.0,0,
C3-A2,EEG,5,0.0,0.0,0,
F2-F4,UNKNOWN,3,0.0,0.0,0,
F1-F3,UNKNOWN,1,0.0,0.0,0,
EMG-EMG,UNKNOWN,2,0.0,0.0,0,
EMG,EMG,1,0.0,0.0,0,
LOC / A2,UNKNOWN,1,0.0,0.0,0,
F4,UNKNOWN,2,0.0,0.0,0,
LOC-A1,UNKNOWN,3,0.0,0.0,0,
MIC,OTHER,27,0.0,0.0,0,
O2-A1,UNKNOWN,4,0.0,0.0,0,
O1-A2,UNKNOWN,1,0.0,0.0,0,
ROC / A1,UNKNOWN,1,0.0,0.0,0,
SOUND,UNKNOWN,1,0.0,0.0,0,
ROC-A2,UNKNOWN,3,0.0,0.0,0,
TAG,UNKNOWN,3,0.0,0.0,0,
TERMISTORE,UNKNOWN,3,0.0,0.0,0,
THE,UNKNOWN,3,0.0,0.0,0,
