patient,channel,category,n_samples,n_saturated,pct_saturated
brux1,FP2-F4,EEG,7342592,1030,0.014
brux1,F4-C4,EEG,7342592,837,0.0114
brux1,C4-P4,EEG,7342592,804,0.0109
brux1,P4-O2,EEG,7342592,1063,0.0145
brux1,F8-T4,EEG,7342592,822,0.0112
brux1,T4-T6,EEG,7342592,970,0.0132
brux1,FP1-F3,EEG,7342592,1181,0.0161
brux1,F3-C3,EEG,7342592,878,0.012
brux1,C3-P3,EEG,7342592,881,0.012
brux1,P3-O1,EEG,7342592,1002,0.0136
brux1,F7-T3,EEG,7342592,760,0.0104
brux1,T3-T5,EEG,7342592,967,0.0132
brux1,C4-A1,EEG,7342592,1650,0.0225
brux1,ROC-LOC,EOG,7342592,936,0.0127
brux1,EMG1-EMG2,EMG,7342592,1026,0.014
brux1,ECG1-ECG2,ECG,7342592,1052,0.0143
brux1,DX1-DX2,OTHER,7342592,1040,0.0142
brux1,SX1-SX2,OTHER,7342592,1188,0.0162
brux2,FP2-F4,EEG,8018176,0,0.0
brux2,F4-C4,EEG,8018176,0,0.0
brux2,C4-P4,EEG,8018176,41,0.0005
brux2,P4-O2,EEG,8018176,42,0.0005
brux2,F8-T4,EEG,8018176,0,0.0
brux2,T4-T6,EEG,8018176,1,0.0
brux2,FP1-F3,EEG,8018176,0,0.0
brux2,F3-C3,EEG,8018176,0,0.0
brux2,C3-P3,EEG,8018176,11,0.0001
brux2,P3-O1,EEG,8018176,484,0.006
brux2,F7-T3,EEG,8018176,15,0.0002
brux2,T3-T5,EEG,8018176,21,0.0003
brux2,C4-A1,EEG,8018176,0,0.0
brux2,ROC-LOC,EOG,8018176,6,0.0001
brux2,EMG1-EMG2,EMG,8018176,0,0.0
brux2,ECG1-ECG2,ECG,8018176,2305,0.0287
brux2,DX1-DX2,OTHER,8018176,0,0.0
brux2,SX1-SX2,OTHER,8018176,1,0.0
ins1,FP2-F4,EEG,12288000,0,0.0
ins1,F4-C4,EEG,12288000,0,0.0
ins1,C4-P4,EEG,12288000,0,0.0
ins1,P4-O2,EEG,12288000,0,0.0
ins1,C4-A1,EEG,12288000,0,0.0
ins1,ROC-LOC,EOG,12288000,50,0.0004
ins1,EMG1-EMG2,EMG,12288000,0,0.0
ins1,ECG1-ECG2,ECG,12288000,30680,0.2497
ins1,MIC,OTHER,12288000,0,0.0
ins1,FLUSSO,FLOW,12288000,0,0.0
ins1,TORACE,THORAX,12288000,2128078,17.3183
ins1,ADDDOME,ABDOMEN,12288000,0,0.0
ins1,SAO2,OXYGEN,12288000,12287923,99.9994
ins1,SX1-SX2,OTHER,12288000,14,0.0001
ins1,DX1-DX2,OTHER,12288000,34,0.0003
ins1,POSITION,OTHER,12288000,12287963,99.9997
ins1,HR,UNKNOWN,12288000,12287919,99.9993
ins1,PLETH,OXYGEN,12288000,12221765,99.461
ins2,FP2-F4,EEG,25728000,0,0.0
ins2,F4-C4,EEG,25728000,0,0.0
ins2,C4-P4,EEG,25728000,0,0.0
ins2,P4-O2,EEG,25728000,0,0.0
ins2,C4-A1,EEG,25728000,0,0.0
ins2,ROC-LOC,EOG,25728000,0,0.0
ins2,EMG1-EMG2,EMG,25728000,0,0.0
ins2,ECG1-ECG2,ECG,25728000,82,0.0003
ins2,DX1-DX2,OTHER,25728000,19,0.0001
ins2,SX1-SX2,OTHER,25728000,430,0.0017
ins2,SAO2,OXYGEN,25728000,25727830,99.9993
ins2,HR,UNKNOWN,25728000,25727888,99.9996
ins2,PLETH,OXYGEN,25728000,25618695,99.5752
ins2,STAT,UNKNOWN,25728000,10624706,41.2963
ins3,ROC-LOC,EOG,7910656,40,0.0005
ins3,FP2-F4,EEG,7910656,0,0.0
ins3,F4-C4,EEG,7910656,0,0.0
ins3,C4-P4,EEG,7910656,0,0.0
ins3,P4-O2,EEG,7910656,0,0.0
ins3,C4-A1,EEG,7910656,0,0.0
ins3,EMG1-EMG2,EMG,7910656,0,0.0
ins3,ECG1-ECG2,ECG,7910656,41761,0.5279
ins3,DX1-DX2,OTHER,7910656,0,0.0
ins3,SX1-SX2,OTHER,7910656,0,0.0
ins3,F8-T4,EEG,7910656,10,0.0001
ins3,F7-T3,EEG,7910656,0,0.0
ins3,TORACE,THORAX,7910656,171778,2.1715
ins3,ADDOME,ABDOMEN,7910656,3118711,39.4242
ins3,STAT,UNKNOWN,7910656,7910656,100.0
ins4,ROC-LOC,EOG,19553792,760,0.0039
ins4,FP2-F4,EEG,19553792,414,0.0021
ins4,F4-C4,EEG,19553792,872,0.0045
ins4,C4-P4,EEG,19553792,478,0.0024
ins4,P4-O2,EEG,19553792,57,0.0003
ins4,C4-A1,EEG,19553792,426,0.0022
ins4,EMG1-EMG2,EMG,19553792,0,0.0
ins4,ECG1-ECG2,ECG,19553792,44209,0.2261
