patient,channel,category
brux1,FP2-F4,EEG
brux1,F4-C4,EEG
brux1,C4-P4,EEG
brux1,P4-O2,EEG
brux1,F8-T4,EEG
brux1,T4-T6,EEG
brux1,FP1-F3,EEG
brux1,F3-C3,EEG
brux1,C3-P3,EEG
brux1,P3-O1,EEG
brux1,F7-T3,EEG
brux1,T3-T5,EEG
brux1,C4-A1,EEG
brux1,ROC-LOC,EOG
brux1,EMG1-EMG2,EMG
brux1,ECG1-ECG2,ECG
brux1,DX1-DX2,OTHER
brux1,SX1-SX2,OTHER
brux2,FP2-F4,EEG
brux2,F4-C4,EEG
brux2,C4-P4,EEG
brux2,P4-O2,EEG
brux2,F8-T4,EEG
brux2,T4-T6,EEG
brux2,FP1-F3,EEG
brux2,F3-C3,EEG
brux2,C3-P3,EEG
brux2,P3-O1,EEG
brux2,F7-T3,EEG
brux2,T3-T5,EEG
brux2,C4-A1,EEG
brux2,ROC-LOC,EOG
brux2,EMG1-EMG2,EMG
brux2,ECG1-ECG2,ECG
brux2,DX1-DX2,OTHER
brux2,SX1-SX2,OTHER
ins1,FP2-F4,EEG
ins1,F4-C4,EEG
ins1,C4-P4,EEG
ins1,P4-O2,EEG
ins1,C4-A1,EEG
ins1,ROC-LOC,EOG
ins1,EMG1-EMG2,EMG
ins1,ECG1-ECG2,ECG
ins1,MIC,OTHER
ins1,FLUSSO,FLOW
ins1,TORACE,THORAX
ins1,ADDDOME,ABDOMEN
ins1,SAO2,OXYGEN
ins1,SX1-SX2,OTHER
ins1,DX1-DX2,OTHER
ins1,POSITION,OTHER
ins1,HR,UNKNOWN
ins1,PLETH,OXYGEN
ins2,FP2-F4,EEG
ins2,F4-C4,EEG
ins2,C4-P4,EEG
ins2,P4-O2,EEG
ins2,C4-A1,EEG
ins2,ROC-LOC,EOG
ins2,EMG1-EMG2,EMG
ins2,ECG1-ECG2,ECG
ins2,DX1-DX2,OTHER
ins2,SX1-SX2,OTHER
ins2,SAO2,OXYGEN
ins2,HR,UNKNOWN
ins2,PLETH,OXYGEN
ins2,STAT,UNKNOWN
ins3,ROC-LOC,EOG
ins3,FP2-F4,EEG
ins3,F4-C4,EEG
ins3,C4-P4,EEG
ins3,P4-O2,EEG
ins3,C4-A1,EEG
ins3,EMG1-EMG2,EMG
ins3,ECG1-ECG2,ECG
ins3,DX1-DX2,OTHER
ins3,SX1-SX2,OTHER
ins3,F8-T4,EEG
ins3,F7-T3,EEG
ins3,TORACE,THORAX
ins3,ADDOME,ABDOMEN
ins3,STAT,UNKNOWN
ins4,ROC-LOC,EOG
ins4,FP2-F4,EEG
ins4,F4-C4,EEG
ins4,C4-P4,EEG
ins4,P4-O2,EEG
ins4,C4-A1,EEG
ins4,EMG1-EMG2,EMG
ins4,ECG1-ECG2,ECG
ins5,FP2-F4,EEG
ins5,F4-C4,EEG
ins5,C4-P4,EEG
ins5,P4-O2,EEG
ins5,C4-A1,EEG
ins5,ROC-LOC,EOG
ins5,EMG1-EMG2,EMG
ins5,ECG1-ECG2,ECG
ins5,SAO2,OXYGEN
ins5,HR,UNKNOWN
ins5,PLETH,OXYGEN
ins5,STAT,UNKNOWN
ins6,ROC-LOC,EOG
ins6,FP2-F4,EEG
ins6,F4-C4,EEG
ins6,C4-P4,EEG
ins6,P4-O2,EEG
ins6,C4-A1,EEG
ins6,EMG1-EMG2,EMG
ins6,ECG1-ECG2,ECG
ins6,DX1-DX2,OTHER
ins6,SX1-SX2,OTHER
ins6,SAO2,OXYGEN
ins6,HR,UNKNOWN
ins6,PLETH,OXYGEN
ins6,STAT,UNKNOWN
ins7,FP2-F4,EEG
ins7,F4-C4,EEG
ins7,C4-P4,EEG
ins7,P4-O2,EEG
ins7,C4-A1,EEG
ins7,ROC-LOC,EOG
ins7,EMG1-EMG2,EMG
ins7,ECG1-ECG2,ECG
ins7,SAO2,OXYGEN
ins7,HR,UNKNOWN
ins7,PLETH,OXYGEN
ins7,STAT,UNKNOWN
ins8,ROC-LOC,EOG
ins8,FP2-F4,EEG
ins8,F4-C4,EEG
ins8,C4-P4,EEG
ins8,P4-O2,EEG
ins8,FP1-F3,EEG
ins8,F3-C3,EEG
ins8,C3-P3,EEG
ins8,P3-O1,EEG
ins8,C4-A1,EEG
ins8,EMG1-EMG2,EMG
ins8,ECG1-ECG2,ECG
ins8,DX1-DX2,OTHER
ins8,SX1-SX2,OTHER
ins8,F8-T4,EEG
ins8,F7-T3,EEG
ins8,TORACE,THORAX
ins8,ADDOME,ABDOMEN
ins8,SAO2,OXYGEN
ins8,HR,UNKNOWN
ins8,PLETH,OXYGEN
ins8,STAT,UNKNOWN
ins9,ROC-LOC,EOG
ins9,FP2-F4,EEG
ins9,F4-C4,EEG
ins9,C4-P4,EEG
ins9,P4-O2,EEG
ins9,FP1-F3,EEG
ins9,F3-C3,EEG
ins9,C3-P3,EEG
ins9,P3-O1,EEG
ins9,C4-A1,EEG
ins9,EMG1-EMG2,EMG
ins9,ECG1-ECG2,ECG
ins9,DX1-DX2,OTHER
ins9,SX1-SX2,OTHER
ins9,F8-T4,EEG
ins9,F7-T3,EEG
ins9,TORACE,THORAX
ins9,ADDOME,ABDOMEN
ins9,POSITION,OTHER
ins9,SAO2,OXYGEN
ins9,HR,UNKNOWN
ins9,PLETH,OXYGEN
ins9,STAT,UNKNOWN
n1,ROC-LOC,EOG
n1,LOC-ROC,UNKNOWN
n1,F2-F4,UNKNOWN
n1,F4-C4,EEG
n1,C4-P4,EEG
n1,P4-O2,EEG
n1,F1-F3,UNKNOWN
n1,F3-C3,EEG
n1,C3-P3,EEG
n1,P3-O1,EEG
n1,C4-A1,EEG
n1,EMG1-EMG2,EMG
n1,ECG1-ECG2,ECG
n1,TERMISTORE,UNKNOWN
n1,TORACE,THORAX
n1,ADDOME,ABDOMEN
n1,DX1-DX2,OTHER
n1,SX1-SX2,OTHER
n1,POSIZIONE,UNKNOWN
n1,HR,UNKNOWN
n1,SPO2,OXYGEN
n10,FP2-F4,EEG
n10,F4-C4,EEG
n10,C4-P4,EEG
n10,P4-O2,EEG
n10,F8-T4,EEG
n10,T4-T6,EEG
n10,FP1-F3,EEG
n10,F3-C3,EEG
n10,C3-P3,EEG
n10,P3-O1,EEG
n10,F7-T3,EEG
n10,T3-T5,EEG
n10,C4-A1,EEG
n10,ROC-LOC,EOG
n10,EMG1-EMG2,EMG
n10,ECG1-ECG2,ECG
n10,DX1-DX2,OTHER
n10,SX1-SX2,OTHER
n11,FP2-F4,EEG
n11,F4-C4,EEG
n11,C4-P4,EEG
n11,P4-O2,EEG
n11,F8-T4,EEG
n11,T4-T6,EEG
n11,FP1-F3,EEG
n11,F3-C3,EEG
n11,C3-P3,EEG
n11,P3-O1,EEG
n11,F7-T3,EEG
n11,T3-T5,EEG
n11,C4-A1,EEG
n11,ROC-LOC,EOG
n11,EMG1-EMG2,EMG
n11,ECG1-ECG2,ECG
n11,DX1-DX2,OTHER
n11,SX1-SX2,OTHER
n11,SAO2,OXYGEN
n11,HR,UNKNOWN
n11,PLETH,OXYGEN
n11,STAT,UNKNOWN
n12,LOC / A2,UNKNOWN
n12,ROC / A1,UNKNOWN
n12,CHIN-0,UNKNOWN
n12,CHIN-1,UNKNOWN
n12,C3-A2,EEG
n12,C4-A1,EEG
n12,O1-A2,UNKNOWN
n12,O2-A1,UNKNOWN
n12,EKG,ECG
n13,LOC,UNKNOWN
n13,ROC,UNKNOWN
n13,CHIN1,UNKNOWN
n13,CHIN2,UNKNOWN
n13,F3A2,UNKNOWN
n13,F4A1,UNKNOWN
n13,C3A2,UNKNOWN
n13,C4A1,UNKNOWN
n13,O1A2,UNKNOWN
n13,O2A1,UNKNOWN
n13,ECG,ECG
n14,LOC,UNKNOWN
n14,ROC,UNKNOWN
n14,CHIN1,UNKNOWN
n14,CHIN2,UNKNOWN
n14,F3A2,UNKNOWN
n14,F4A1,UNKNOWN
n14,C3A2,UNKNOWN
n14,C4A1,UNKNOWN
n14,O1A2,UNKNOWN
n14,O2A1,UNKNOWN
n14,ECG,ECG
n15,EOG-L,UNKNOWN
n15,EOG-R,UNKNOWN
n15,CHIN1,UNKNOWN
n15,CHIN2,UNKNOWN
n15,F3A2,UNKNOWN
n15,F4A1,UNKNOWN
n15,C3A2,UNKNOWN
n15,C4A1,UNKNOWN
n15,O1A2,UNKNOWN
n15,O2A1,UNKNOWN
n15,EKG,ECG
n16,FP2-F4,EEG
n16,F4-C4,EEG
n16,C4-P4,EEG
n16,P4-O2,EEG
n16,C4-A1,EEG
n2,FP2-F4,EEG
n2,F4-C4,EEG
n2,C4-P4,EEG
n2,P4-O2,EEG
n2,C4-A1,EEG
n2,ROC-LOC,EOG
n2,EMG1-EMG2,EMG
n2,ECG1-ECG2,ECG
n2,DX1-DX2,OTHER
n2,SX1-SX2,OTHER
n2,SAO2,OXYGEN
n2,HR,UNKNOWN
n2,PLETH,OXYGEN
n2,STAT,UNKNOWN
n2,MIC,OTHER
n3,FP2-F4,EEG
n3,F4-C4,EEG
n3,C4-P4,EEG
n3,P4-O2,EEG
n3,F8-T4,EEG
n3,T4-T6,EEG
n3,FP1-F3,EEG
n3,F3-C3,EEG
n3,C3-P3,EEG
n3,P3-O1,EEG
n3,F7-T3,EEG
n3,T3-T5,EEG
n3,C4-A1,EEG
n3,ROC-LOC,EOG
n3,EMG1-EMG2,EMG
n3,ECG1-ECG2,ECG
n3,DX1-DX2,OTHER
n3,SX1-SX2,OTHER
n3,SAO2,OXYGEN
n3,HR,UNKNOWN
n3,PLETH,OXYGEN
n3,STAT,UNKNOWN
n3,MIC,OTHER
n4,EOG DX,UNKNOWN
n4,FP2-F4,EEG
n4,F4-C4,EEG
n4,C4-P4,EEG
n4,P4-O2,EEG
n4,C4-A1,EEG
n4,MILO,UNKNOWN
n4,EOG SIN,UNKNOWN
n4,TIB DX,UNKNOWN
n4,TIB SIN,UNKNOWN
n4,CANNULA,FLOW
n4,TORACICO,THORAX
n4,EKG,ECG
n4,DELTOIDE,UNKNOWN
n4,HEART RATE VARIA,UNKNOWN
n4,FLATTENING,UNKNOWN
n4,FLOW,FLOW
n5,FP2-F4,EEG
n5,F4-C4,EEG
n5,C4-P4,EEG
n5,P4-O2,EEG
n5,F8-T4,EEG
n5,T4-T6,EEG
n5,FP1-F3,EEG
n5,F3-C3,EEG
n5,C3-P3,EEG
n5,P3-O1,EEG
n5,F7-T3,EEG
n5,T3-T5,EEG
